Valores Aleatorios,Cuadrado
0.7875953602674033,0.6203064515147407
0.9240387428972738,0.8538475983751741
0.12572469375128636,0.015806698618854746
0.5862423233237322,0.34368006165600734
0.982807303426009,0.9659101956675032
0.4753433399186219,0.2259512908049905
0.7225983638120494,0.5221483953838509
0.10996179503549774,0.012091596367428816
0.6894813359657961,0.47538451264517895
0.0076437463333000055,5.842685800783728e-05
0.2371925400478322,0.05626030105434248
0.06024770762119369,0.0036297862736088403
0.6043813655825431,0.36527683506341957
0.07908626071161018,0.006254636633344776
0.8234324680718808,0.6780410294749489
0.07390376825797884,0.005461766962729041
0.9472169583666729,0.8972199662174113
0.8913090097749012,0.794431750905915
0.35285893132577517,0.12450942541636811
0.5944821265533673,0.3534089987914138
0.15302499324798935,0.023416648558547186
0.7387845261861027,0.5458025761320242
0.6718146397527104,0.45133491018606403
0.8213582059149254,0.6746293024237849
0.1773967450239481,0.03146960514509165
0.170057359512796,0.028919505524464345
0.819075069543375,0.6708839695474845
0.14568666952476217,0.021224605677217265
0.22138347127733893,0.04901064135480435
0.4121965573768992,0.16990600191336735
0.3048082960457993,0.09290809733834363
0.571311496814081,0.32639682639194567
0.04158664122207878,0.001729448728133902
0.26895458318343624,0.07233656781537592
0.5404677541137147,0.2921053932367228
0.3714697122711248,0.13798974713479226
0.47328483680783995,0.2239985367522237
0.6938562814475508,0.4814365393042229
0.7122653855472326,0.5073219794487479
0.2545792681668131,0.06481060378035013
0.6717250180246243,0.4512144998401818
0.31759906470240207,0.10086916589984057
0.15454542131381444,0.02388428724906441
0.462954172151395,0.2143265655123835
0.6115529367522261,0.3739969944502723
0.07687768448560173,0.005910178371867729
0.5252375792751935,0.2758745146828652
0.9190743273497936,0.8446976191934755
0.008272330019751473,6.84314439556814e-05
0.7404687828915569,0.5482940184369037
0.16445445645774082,0.02704526824881097
0.8408334532581431,0.7070008961180139
0.06719972434436094,0.004515802951958097
0.1394158003075585,0.01943676537539703
0.5997613518701248,0.35971367919707964
0.22681375286162742,0.0514444784871754
0.21662900729521573,0.04692812680171063
0.10951930814602262,0.011994478856783456
0.7818629271997671,0.6113096369293883
0.7271406236387025,0.5287334865456812
0.303364133570195,0.0920297975367951
0.2480632402178875,0.061535371147397364
0.034893066720570465,0.001217526105166182
0.5161580140390924,0.26641909545677994
0.037695433533085354,0.0014209457092472558
0.4220526181990384,0.17812841252866327
0.8178388656100144,0.6688604101022751
0.509214607970437,0.25929951697048587
0.633203142964126,0.40094622025964743
0.7192889061859978,0.5173765305622492
0.5788070398002468,0.3350175893223245
0.4561872432672984,0.20810680091981731
0.5774924869198775,0.33349757244890493
0.30030477917462006,0.09018296039511732
0.5501040651589922,0.3026144825044488
0.13356044990066973,0.01783839377766931
0.07500244145978519,0.0056253662249285035
0.6138248940145902,0.37678100051202285
0.32757415422913894,0.1073048265189357
0.31926830661671846,0.10193225160990695
0.21305534249243507,0.04539257896456881
0.6789173687761878,0.46092879362598216
0.7731229555076918,0.5977191043329484
0.34511141791372435,0.1191018907744213
0.16280867692125578,0.026506665280849846
0.5108640164009042,0.2609820432532633
0.9869211158478988,0.9740132889064617
0.23754498009854164,0.05642761757001654
0.8105961466924223,0.657066113032603
0.19730628951703755,0.03892977188298104
0.5151622985164069,0.26539219381270757
0.9467308368134779,0.8962992773735482
0.8348452572853534,0.6969666036118479
0.8697291965983055,0.7564288754155339
0.7676861263141866,0.5893419885352813
0.6169825967229726,0.38066752465902226
0.43845531324308196,0.19224306171108912
0.5960236839886806,0.3552442318754385
0.4336295663077754,0.18803460077626938
0.5903422868366217,0.34850401562749217
